# CANONICAL NAP — Stow — locked 2026-08-09, corrected same day — Display: "Stow - Luggage Storage Da Nang" (per live GBP kgmid, confirm vs signage) | Addr: 55 Bà Bang Nhãn, Ngũ Hành Sơn, Đà Nẵng 550000, VN (storefront, confirm dedicated/staffed) | Phone: +84 905 955 161 | Site: https://www.stowdanang.com (canonical host fixed 2026-08-09) | Email: stowdanang@gmail.com | GBP: https://share.google/4fTTPlY1pwqbLAvmB
tier,platform,found,name_shown,address_shown,phone_shown,category,status,url,notes
1,Google Business Profile,Y,Stow - Luggage Storage Da Nang,VERIFY,VERIFY,VERIFY,Match (owner-confirmed),https://share.google/4fTTPlY1pwqbLAvmB,"Corrected 2026-08-09: exists, kgmid=/g/11z9561m6s. First pass wrongly called this Missing because the site's own Maps CTAs pointed at a bare address pin, not this listing — both now repointed here + added to schema sameAs. Category/hours/photos/exact review count still VERIFY (dashboard-only); owner reports 5.0 rating."
1,Facebook Page,N,,,,,Missing,,"Not found in public search under 'Stow Da Nang' / 'stowdanang'. Create with canonical NAP."
1,Instagram,Y,STOW,not shown,not shown,Luggage storage service,Mismatch,https://www.instagram.com/stowdanang/,"2 followers. Bio website link is the OLD Vercel URL 'stow-vn.vercel.app' — not stowdanang.com. Fix immediately; add phone to bio."
1,Zalo Official Account,N,,,,,Missing,,"Not found. Zalo is the default VN local-business surface; number is already Zalo-enabled per project notes — fast, high-relevance create."
2,Bing Places,Y,Stow - Luggage Storage Da Nang,"55 Bà Bang Nhãn, Đà Nẵng, Đà Nẵng, Vietnam (district missing)",0905 955 161,"Luggage storage, Package locker (+1 more, unconfirmed)",Mismatch — pending publish,,"Created 2026-08-09 via Google import, synced, verification done, publish ETA 7-12 days. THREE issues found in owner's dashboard screenshot: (1) Hours show 'Open 24/7' — wrong, real hours 7am-10pm daily, MUST fix, likely inherited from GBP via sync — check GBP too. (2) Category includes 'Package locker' — different business, likely wrong, drop unless intentional. (3) Address dropped the Ngũ Hành Sơn district (shows city name duplicated instead) — also the underused Marble Mountains keyword connection, fix to canonical. Email field blank. Description/+1-more-category/photos not yet seen — owner sending follow-up screenshot."
2,Apple Business Connect,N,,,,,Missing,,"Create — check on iPhone/Mac. Feeds Apple Maps + Siri; relevant to tourist segment."
2,TripAdvisor,N,,,,,Missing,,"Tourist-facing; list under Things to Do / local services in Da Nang."
2,Stasher (host marketplace),N,,,,,Missing,,"Vertical flagship directory + live booking channel. Competing Da Nang spots already listed."
2,Nannybag (host marketplace),N,,,,,Missing,,"Same as Stasher — 12+ Da Nang locations listed, Stow not among them."
2,Radical Storage (host marketplace),N,,,,,Missing,,"Same as Stasher — Da Nang locations listed, Stow not among them."
3,Expats in Da Nang City (Facebook group),N,,,,,Missing,,"Not a formal citation, but a high-intent community for the expat/visa-run segment (primary revenue driver per project brief). Presence/posting, not a listing."
3,Da Nang tourism directories,N,,,,,Missing,,"e.g. official Da Nang tourism sites — lower priority, volume tier."
3,TikTok,N,,,,,Missing,,"Optional — younger-tourist reach, not NAP-critical."
n/a,Easy Storage Da Nang,Y,Easy Storage Da Nang,"Hana's Coworking, 69 Bui Ta Han, Khue My Ward, Ngu Hanh Son",unknown,Storage,Competitor — do not list,https://hanacoworkingdanang.com/storage-in-da-nang/,"Direct local competitor, same district. Track their GBP/reviews as the benchmark, not a Stow citation target."
